round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4
1,0.001,519.1702948225067,518.1873714989628,1.9658471109043882,87.09122467041016,2409120.970280811,0.237132950044154,0.0,5.573316279002029,8.460142759709974,8.496480386785052,92.42153776083343,93.89543356372333
2,0.0009989726963751681,757.877176617967,756.0354668071279,3.6834207648669572,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.582174975999806,18.741441044586296,18.740347962857854,205.99650587087692,207.59404808099913
3,0.000995895006911623,803.3338997314763,797.6578199262731,11.352159371024584,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.175464785999793,21.628598832419993,21.68180796068648,251.78245847571168,248.77647284480537
4,0.0009907795784955327,907.7854125478227,798.0381794442953,219.494467935219,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.485116904001188,28.56802576875763,28.5542002315626,328.68223556614026,323.40250312600614
5,0.0009836474315195148,1642.872479794649,797.7261375156662,1690.2926866822133,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.207822356998804,28.318716909980424,28.267179729009204,329.9113493822076,324.03724875069196
6,0.0009745278735053344,5077.029580280301,798.3118496345342,8557.435459908418,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.280247913000494,30.732745156610815,30.737744472773567,361.4248530741541,354.54447188503224
7,0.0009634583786730109,13595.561307412623,798.2613517721793,25594.59990722305,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.184904612000537,30.124001280604396,30.093727950780416,354.24560613496135,347.3643913389402
8,0.0009504844339512095,28838.65709403236,798.0589699277564,56081.196250031426,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.2397501560008095,29.121978430664953,29.153996127231842,340.8173945397875,334.952703096048
9,0.0009356593520616947,54841.02774437765,797.9012944443273,108086.25284461814,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,4.996067050997226,28.40052123680784,28.440942932246966,334.16831572303033,327.9936463018376
10,0.0009190440524459203,92308.20490309194,798.659831526765,183019.0900458758,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.432643760999781,29.53651013314323,29.54308452404075,349.44803712148763,342.410979458972
11,0.0009007068109339783,143973.16875778948,798.2922853731881,286349.75346331164,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.085926498002664,28.977387004334584,29.048409485045752,343.2775733924957,336.79464050425383
12,0.0008807229791845672,211276.5245475404,798.3447593167384,420956.3596109182,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.405535836998752,27.854359710753794,27.89457659524286,328.14395922840384,322.458390256514
13,0.0008591746750488638,294659.9408066926,798.1835041622962,587723.5146423329,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.177354071998707,26.81254501708945,26.82921370317554,314.87896895425956,309.4075452470691
14,0.0008361504451306584,397718.37284985755,798.4115335298955,793839.9222268045,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.059394443997007,26.153296720746475,26.18167443472014,308.39444668810984,302.560056597295
15,0.0008117449009293668,513982.4509866788,798.7709735502224,1026367.360224958,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.547518981002213,26.16522120078657,26.1567167334033,309.5344935757535,303.625735921514
16,0.0007860583300610849,650726.5443160324,798.1938521563677,1299856.7006868667,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.490020935998473,25.16665383235077,25.20097226795338,297.1232556776632,291.6660036022569
17,0.0007591962841552626,807593.6016418259,798.4622950841422,1613590.278417484,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.293116316999658,24.322316200689517,24.32501773553076,287.9040447027032,282.22692323383455
18,0.0007312691451204177,974911.3304143772,798.6604315470028,1948225.341605688,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.454898099000275,23.63695817885984,23.65637638097049,279.91484236448815,274.0194226021477
19,0.0007023916715611969,1164881.178288145,798.1431101864014,2328166.0721392413,87.09122467041016,2409120.982627707,0.22485207100591717,0.3671497584541063,5.175227190000442,22.298791545493327,22.324461695276465,263.2885212224463,258.1944795414029
